account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,latest_churn_date,latest_reason_code,total_refund_usd,preceding_upgrade_flag,preceding_downgrade_flag,n_churn_events,ever_reactivated,is_churned,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,n_subscriptions,first_sub_start,n_upgrades,n_downgrades,n_tickets,avg_csat,avg_resolution_hrs,avg_first_response_min,n_escalations,total_usage,total_duration_secs,total_errors,n_features_used,active_days,beta_usage,signup_month,lifetime_days,lifetime_months
A-2e4581,Company_0,EdTech,US,2024-10-16,partner,Basic,9,False,False,2024-12-05,competitor,0.0,True,False,2.0,False,1,836,10032,monthly,True,10,2024-10-20,1,0,2.0,3.4906382978723407,23.0,91.0,0.0,535,152339,38,27,55,4,2024-10,46.0,1.5111695137976346
A-43a9e3,Company_1,FinTech,IN,2023-08-17,other,Basic,18,False,True,,,0.0,0,0,0.0,0,0,882,10584,monthly,True,8,2023-09-20,3,0,3.0,4.0,38.0,73.33333333333333,0.0,355,101136,14,23,35,2,2023-08,,
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Basic,1,False,False,2024-12-31,support,62.66,False,True,2.0,False,1,98,1176,annual,True,15,2024-08-31,1,1,3.0,4.666666666666667,43.666666666666664,63.666666666666664,0.0,821,251210,48,34,80,5,2024-08,122.0,4.0078843626806835
A-1f0ac7,Company_3,HealthTech,UK,2023-08-27,other,Basic,24,True,False,2024-11-08,support,0.0,True,False,1.0,False,1,1176,14112,monthly,True,7,2023-12-04,2,0,2.0,3.981276595744681,29.0,174.0,0.0,382,102528,21,26,40,5,2023-08,340.0,11.169513797634691
A-ce550d,Company_4,HealthTech,US,2024-10-27,event,Enterprise,35,False,True,2024-12-28,budget,0.0,True,False,1.0,False,1,21691,260292,monthly,True,9,2024-10-28,2,0,7.0,3.851793313069909,42.285714285714285,107.85714285714286,1.0,579,215779,31,32,56,4,2024-10,61.0,2.0039421813403417
A-1b9609,Company_5,EdTech,IN,2023-10-12,ads,Enterprise,4,False,False,2024-11-16,unknown,0.0,True,False,3.0,False,1,0,0,annual,True,11,2023-12-01,0,0,4.0,3.7359574468085106,43.0,74.75,0.0,457,140541,21,28,44,6,2023-10,351.0,11.530880420499342
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,11,False,False,,,0.0,0,0,0.0,0,0,5174,62088,monthly,True,9,2024-03-16,0,0,6.0,3.8302127659574468,39.166666666666664,89.83333333333333,3.0,373,116964,14,26,39,3,2024-03,,
A-e5d6ab,Company_7,EdTech,US,2023-04-15,partner,Pro,3,False,False,2024-05-11,competitor,0.0,True,False,2.0,False,1,1568,18816,annual,True,10,2023-05-11,0,0,3.0,3.981276595744681,42.666666666666664,57.0,0.0,382,111506,23,29,39,5,2023-04,366.0,12.02365308804205
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,12,False,True,2024-12-27,budget,0.0,True,False,3.0,False,1,0,0,annual,True,10,2024-09-10,1,0,4.0,3.7453191489361704,32.5,75.25,0.0,472,145429,29,27,48,5,2024-09,108.0,3.54796320630749
A-10b8da,Company_9,DevTools,US,2023-05-08,partner,Enterprise,14,False,True,,,0.0,0,0,0.0,0,0,1666,19992,monthly,True,6,2023-05-12,1,0,3.0,3.660425531914894,31.333333333333332,71.33333333333333,0.0,257,73818,14,23,26,2,2023-05,,
A-592832,Company_10,Cybersecurity,US,2024-09-25,organic,Basic,18,False,True,2024-10-04,support,22.66,False,False,1.0,False,1,882,10584,annual,False,19,2024-09-26,1,1,3.0,4.320851063829788,32.666666666666664,80.66666666666667,0.0,1053,326283,55,38,92,13,2024-09,8.0,0.2628120893561104
A-d40bf7,Company_11,FinTech,IN,2024-11-08,organic,Basic,59,False,False,,,0.0,0,0,0.0,0,0,1121,13452,monthly,True,10,2024-11-09,1,0,2.0,5.0,20.5,125.5,0.0,562,150186,22,29,54,5,2024-11,,
A-6c093d,Company_12,DevTools,US,2023-04-14,partner,Basic,7,True,False,,,0.0,0,0,0.0,0,0,0,0,annual,True,12,2023-04-30,2,0,3.0,4.320851063829788,40.333333333333336,68.33333333333333,1.0,670,217275,30,30,63,10,2023-04,,
A-462d45,Company_13,Cybersecurity,US,2024-01-15,partner,Enterprise,11,True,False,2024-05-17,competitor,0.0,False,False,1.0,False,1,1470,17640,annual,True,12,2024-01-16,1,2,4.0,3.9859574468085106,26.75,95.0,0.0,642,159561,26,34,64,8,2024-01,122.0,4.0078843626806835
A-956988,Company_14,EdTech,UK,2024-11-30,ads,Enterprise,1,False,False,2024-12-30,unknown,0.0,True,True,2.0,True,1,6368,76416,annual,True,13,2024-12-01,0,1,2.0,3.4906382978723407,50.5,118.0,0.0,658,173232,49,32,67,8,2024-11,29.0,0.9526938239159001
A-ac14bb,Company_15,FinTech,US,2023-09-08,partner,Enterprise,21,False,False,2024-10-01,competitor,128.79,False,False,2.0,False,1,532,6384,annual,True,8,2023-09-27,2,0,2.0,3.9906382978723407,24.5,30.5,0.0,531,170826,42,31,54,7,2023-09,370.0,12.155059132720105
A-463db0,Company_16,HealthTech,US,2024-12-05,partner,Basic,15,False,False,2024-12-30,features,0.0,False,False,1.0,True,1,735,8820,annual,True,7,2024-12-09,0,0,6.0,4.1604255319148935,50.166666666666664,94.83333333333333,1.0,367,106259,13,25,36,3,2024-12,21.0,0.6898817345597897
A-ce66f8,Company_17,EdTech,CA,2023-08-23,event,Pro,29,False,False,,,0.0,0,0,0.0,0,0,1421,17052,annual,True,6,2023-08-24,0,0,6.0,3.8208510638297875,41.666666666666664,79.16666666666667,0.0,494,133559,19,29,45,6,2023-08,,
A-c4ea60,Company_18,FinTech,DE,2023-03-09,other,Enterprise,18,False,True,,,0.0,0,0,0.0,0,0,3582,42984,monthly,True,9,2023-04-11,0,1,5.0,3.6,36.0,59.0,0.0,427,137244,18,28,41,9,2023-03,,
A-832ec2,Company_19,FinTech,UK,2023-11-19,event,Enterprise,4,True,False,2024-09-15,pricing,0.0,True,False,2.0,False,1,4378,52536,annual,False,8,2024-01-02,3,0,3.0,3.993758865248227,26.0,108.66666666666667,1.0,511,157711,25,31,46,6,2023-11,257.0,8.442838370565045
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9,False,False,2024-07-03,unknown,0.0,False,False,2.0,True,1,0,0,annual,True,14,2024-04-14,3,1,4.0,4.49531914893617,14.25,97.75,1.0,653,191849,44,34,65,15,2024-04,80.0,2.628120893561104
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,8,False,False,,,0.0,0,0,0.0,0,0,152,1824,monthly,True,8,2024-07-28,1,1,9.0,3.9916784869976363,31.333333333333332,81.88888888888889,1.0,337,98383,20,24,33,5,2024-07,,
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Enterprise,3,False,True,2024-10-11,budget,35.48,True,False,2.0,True,1,3383,40596,annual,True,14,2024-08-23,2,0,3.0,3.3333333333333335,31.333333333333332,76.66666666666667,0.0,687,208387,37,32,68,8,2024-08,49.0,1.609724047306176
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86,False,True,2024-09-01,features,0.0,False,False,1.0,False,1,1634,19608,annual,True,8,2024-05-24,0,0,3.0,3.9875177304964544,57.666666666666664,108.33333333333333,0.0,402,127433,22,28,41,10,2024-05,100.0,3.2851511169513796
